Full Name,Date of Birth,Country of Origin,Prior Arrests,List of Charges,Pending Warrants
Buzz McCallister,1978-04-04,United States,2,"Petty Theft; Harassment",No
Uncle Frank,1950-05-05,United States,1,Tax Evasion,No
Fuller McCallister,1985-06-06,United States,0,None,No
Linus Torvalds,1969-12-28,Finland,0,None,No
Steve Rogers,1918-07-04,United States,1,Identity Fraud (Historical),No
Bucky Barnes,1917-03-10,United States,5,"Assassination (Coerced); Treason",Yes
Sam Wilson,1978-01-01,United States,0,None,No
Natasha Romanoff,1984-11-22,Russia,8,"Espionage; Murder; Theft",Yes
Clint Barton,1971-01-07,United States,1,Vigilantism,No
Bruce Banner,1969-12-18,United States,3,"Mass Property Damage; Assault",Yes
Tony Stark,1970-05-29,United States,2,"Illegal Arms Sales; Contempt of Congress",No
Wanda Maximoff,1989-02-10,Sokovia,3,"Terrorism; Kidnapping",Yes
Pietro Maximoff,1989-02-10,Sokovia,2,"Theft; Riot",No
Vision Android,2015-05-05,South Korea,0,None,No
Thor Odinson,1964-08-11,Norway,1,Property Damage,No
Loki Laufeyson,1964-08-11,Norway,12,"Treason; Fraud; Mass Murder",Yes
Hela Odinsdottir,1960-01-01,Norway,20,Genocide,Yes
Odin Borson,1940-01-01,Norway,1,Imperialism,No
Frigga Freyr,1945-02-02,Norway,0,None,No
Sif Warrior,1980-03-03,Norway,1,Assault,No
Heimdall Watcher,1975-04-04,Norway,1,Aiding and Abetting,No
Valkyrie Scrapper,1985-05-05,Norway,1,Public Intoxication,No
Korg Stone,1990-06-06,Sakaar,1,Failed Revolution,No
Miek Bug,2000-07-07,Sakaar,0,None,No
Grandmaster Goldblum,1952-10-22,United States,1,Human Trafficking,No
T'Challa Udaku,1980-01-01,Wakanda,0,None,No
Shuri Udaku,1998-02-02,Wakanda,1,Hacking,No
Okoye Dora,1985-03-03,Wakanda,0,None,No
Nakia River,1988-04-04,Wakanda,1,Espionage,No
Erik Killmonger,1982-05-05,United States,6,"Homicide; Sedition; Grand Larceny",Yes
M'Baku Jabari,1980-06-06,Wakanda,1,Assault,No
Zuri Elder,1955-07-07,Wakanda,0,None,No
Ramonda Queen,1960-08-08,Wakanda,0,None,No
Everett Ross,1970-09-09,United States,1,Obstruction of Justice,No
Ulysses Klaue,1965-10-10,South Africa,15,"Theft of Vibranium; Murder",Yes
Stephen Strange,1976-11-11,United States,1,Medical Malpractice (Alleged),No
Wong Librarian,1970-12-12,China,0,None,No
Christine Palmer,1980-01-01,United States,0,None,No
Karl Mordo,1978-02-02,United Kingdom,1,Assault,No
Ancient One,1940-03-03,Nepal,1,Tax Evasion (500 years),No
Kaecilius Zealot,1972-04-04,Denmark,3,"Murder; Arson",Yes
Peter Parker,2001-08-10,United States,1,Vigilantism,No
Mary Jane Watson,2001-09-09,United States,0,None,No
Harry Osborn,2001-10-10,United States,2,"Drug Possession; Assault",No
Norman Osborn,1965-11-11,United States,4,"Murder; Corporate Fraud; Terrorism",Yes
Otto Octavius,1960-12-12,Germany,3,"Grand Larceny; Assault",Yes
Flint Marko,1975-01-01,United States,5,"Escaped Convict; Robbery",Yes
Eddie Brock,1985-02-02,United States,1,Libel,No
Cletus Kasady,1970-03-03,United States,20,Serial Murder,Yes
May Parker,1950-04-04,United States,0,None,No
Ben Parker,1948-05-05,United States,0,None,No
J. Jonah Jameson,1955-06-06,United States,1,Harassment,No
Gwen Stacy,2002-07-07,United States,0,None,No
George Stacy,1962-08-08,United States,0,None,No
Miles Morales,2005-09-09,United States,1,Graffiti,No
Rio Morales,1975-10-10,Puerto Rico,0,None,No
Jefferson Davis,1972-11-11,United States,0,None,No
Aaron Davis,1980-12-12,United States,4,"Burglary; Grand Larceny",Yes
Wilson Fisk,1968-01-01,United States,12,"Racketeering; Murder; Bribery",Yes
Vanessa Fisk,1972-02-02,Switzerland,1,Money Laundering,No
James Wesley,1975-03-03,United States,2,"Conspiracy; Accessory to Murder",No
Leland Owlsley,1958-04-04,United States,1,Embezzlement,No
Karen Page,1990-05-05,United States,1,Homicide (Self-Defense),No
Foggy Nelson,1988-06-06,United States,0,None,No
Matt Murdock,1985-07-07,United States,1,Vigilantism,No
Frank Castle,1980-08-08,United States,25,"Mass Homicide; Terrorism",Yes
Elektra Natchios,1988-09-09,Greece,5,Murder-for-Hire,Yes
Stick Mentor,1940-10-10,United States,1,Assault,No
Claire Temple,1982-11-11,United States,0,None,No
Luke Cage,1978-12-12,United States,2,"Prison Break; Assault",No
Jessica Jones,1985-01-01,United States,3,"Public Intoxication; Assault",No
Danny Rand,1990-02-02,United States,1,Trespassing,No
Colleen Wing,1992-03-03,Japan,1,Unlicensed Fight Club,No
Misty Knight,1988-04-04,United States,0,None,No
Trish Walker,1985-05-05,United States,2,"Assault; Drug Use",No
Jeri Hogarth,1970-06-06,United States,1,Ethics Violation,No
Kilgrave Thompson,1980-07-07,United Kingdom,10,"Kidnapping; Rape; Murder",Yes
Will Simpson,1982-08-08,United States,2,Assault,No
Hope Van Dyne,1985-09-09,United States,1,Corporate Espionage,No
Scott Lang,1982-10-10,United States,3,"Burglary; Grand Larceny",No
Hank Pym,1950-11-11,United States,1,Assault,No
Janet Van Dyne,1952-12-12,United States,0,None,No
Luis Rodriguez,1984-01-01,Mexico,2,Grand Theft Auto,No
Kurt Hacker,1986-02-02,Poland,1,Cyber Crime,No
Dave Driver,1988-03-03,United States,1,Theft,No
Jim Paxton,1975-04-04,United States,0,None,No
Maggie Lang,1982-05-05,United States,0,None,No
Cassie Lang,2005-06-06,United States,1,Protest Related Arrest,No
Darren Cross,1978-07-07,United States,1,Attempted Murder,No
Bill Foster,1955-08-08,United States,0,None,No
Ava Starr,1995-09-09,Argentina,2,"Theft; Assault",No
Sonny Burch,1975-10-10,United States,3,Smuggling,Yes
Carol Danvers,1980-11-11,United States,1,Military Insubordination,No
Nick Fury,1955-12-12,United States,1,Espionage (Illegal),No
Maria Rambeau,1980-01-01,United States,0,None,No
Monica Rambeau,1995-02-02,United States,0,None,No
Talos Skrull,1960-03-03,Unknown,1,Identity Fraud,No
Soren Skrull,1965-04-04,Unknown,1,Identity Fraud,No
Yon-Rogg Kree,1970-05-05,Unknown,2,War Crimes,Yes
Mar-Vell Wendy,1950-06-06,Unknown,1,Treason,No
Peter Quill,1980-07-07,United States,4,"Theft; Piracy; Escaping Custody",Yes
Gamora Zen-Whoberi,1985-08-08,Zen-Whoberi,10,"Murder; Terrorism",Yes
Drax Destroyer,1975-09-09,Kylos,5,Mass Assault,No
Rocket Raccoon,2010-10-10,Halfworld,15,"Grand Theft; Prison Break; Arson",Yes
Groot Flora,2014-11-11,Planet X,2,Assault,No
Nebula Luphomoid,1988-12-12,Luphomoid,8,"Attempted Fratricide; Terrorism",Yes
Mantis Empath,1995-01-01,Unknown,0,None,No
Yondu Udonta,1965-02-02,Centauri IV,12,"Kidnapping; Piracy; Smuggling",Yes
Kraglin Obfonteri,1980-03-03,Unknown,2,Piracy,No
Ego Living-Planet,1900-01-01,Deep Space,1,Mass Homicide,Yes
Ayesha Sovereign,1990-04-04,Sovereign,1,Theft,No
Adam Warlock,2023-05-05,Sovereign,1,Assault,No
Taserface Ravager,1982-06-06,Unknown,2,Mutiny,No
Stakar Ogord,1955-07-07,Unknown,1,Piracy,No
Howard Duck,1985-08-08,Duckworld,1,Public Nuisance,No
Cosmo Dog,1955-09-09,Russia,0,None,No
Malekith Dark-Elf,1000-10-10,Svartalfheim,1,Attempted Genocide,Yes
Algrim Kurse,1970-11-11,Svartalfheim,2,Assault,No
Bor Burison,0500-12-12,Norway,1,Imperialism,No
Surtur Fire-Giant,0001-01-01,Muspelheim,1,Arson,Yes
Fenris Wolf,2017-01-01,Norway,1,Assault,No
Hassan El-Sayed,1982-04-12,Egypt,1,Customs Violation,No
Fatima Mansour,1995-11-20,Jordan,0,None,No
Lukas Fischer,1988-03-05,Germany,2,"Public Nuisance; Vandalism",No
Anika Sorenson,1991-07-14,Norway,0,None,No
Chen Xiu,1980-12-01,China,1,Tax Evasion,No
Mateo Juarez,1994-05-25,Mexico,3,"Possession; Resisting Arrest; Assault",Yes
Aarav Gupta,1987-09-18,India,0,None,No
Isabella Rossi,1992-02-14,Italy,1,Shoplifting,No
Kofi Adomah,1985-06-30,Ghana,2,"Forgery; Identity Theft",Yes
Yuki Sato,1998-10-10,Japan,0,None,No
Dmitri Volkov,1979-01-15,Russia,5,"Extortion; Racketeering; Grand Larceny",Yes
Elena Petrov,1993-08-22,Bulgaria,1,Visa Fraud,No
Liam Gallagher,1972-09-21,United Kingdom,2,"Public Intoxication; Affray",No
Siobhan O'Neill,1990-03-30,Ireland,0,None,No
Rafael Silva,1984-11-11,Brazil,4,"Drug Trafficking; Money Laundering",Yes
Valentina Costa,1996-05-04,Portugal,0,None,No
Hans Weber,1975-07-20,Austria,1,Insurance Fraud,No
Sofia Moretti,1989-12-12,Italy,0,None,No
Anders Lind,1981-04-09,Sweden,2,Illegal Hunting,No
Nadia Ivanova,1995-06-17,Ukraine,0,None,No
Santiago Morales,1997-10-02,Colombia,3,"Armed Robbery; Assault",Yes
Amara Okafor,1988-02-11,Nigeria,0,None,No
Kenji Tanaka,1974-12-25,Japan,1,Insider Trading,No
Lars Nielsen,1982-03-19,Denmark,2,"Arson; Criminal Mischief",No
Mei Ling,1991-01-30,Taiwan,0,None,No
Igor Smirnov,1983-05-15,Russia,6,"Kidnapping; Weapons Possession",Yes
Chloe Lefebvre,1994-09-07,France,0,None,No
Arjun Mehra,1980-08-21,India,1,Cyber Crime,No
Beatriz Soares,1992-11-03,Portugal,0,None,No
Mikhail Petrov,1978-06-10,Kazakhstan,2,Illegal Mining,No
Aisha Khan,1995-04-20,Pakistan,0,None,No
Bruno Schmidt,1986-07-14,Germany,1,DUI,No
Yara Ben-Ami,1993-12-04,Israel,0,None,No
Lucas Ferreira,1990-02-28,Brazil,3,Grand Theft Auto,Yes
Svetlana Petrova,1994-01-10,Russia,0,None,No
Mohamed Hassan,1981-10-22,Somalia,2,Human Smuggling,Yes
Keisha Williams,1996-03-12,Jamaica,1,Possession of Controlled Substance,No
Viktor Novak,1975-05-19,Czech Republic,0,None,No
Amelie Roche,1998-08-05,France,1,Disturbing the Peace,No
Diego Morales,1991-09-27,Mexico,4,Aggravated Assault,Yes
Hanna Jorgensen,1984-06-25,Norway,0,None,No
Saanvi Iyer,1997-12-18,India,1,Fraud,No
Kenji Watanabe,1970-11-11,Japan,0,None,No
Rosa Diaz,1989-04-04,Argentina,2,Vandalism,No
Lukas Müller,1982-09-15,Germany,0,None,No
Tariq Al-Fayed,1995-12-25,Saudi Arabia,1,Terrorism Financing (Alleged),Yes
Elena Costa,1998-08-08,Portugal,0,None,No
Ivan Dragov,1980-03-12,Bulgaria,3,Match Fixing,No
Maya Singh,1994-02-14,India,0,None,No
Oleg Volkov,1976-05-30,Russia,7,"Homicide; Organized Crime",Yes
Sonia Gupta,1991-02-14,India,0,None,No
Arthur Bishop,1972-04-22,United States,1,Contract Killing (Suspected),Yes
Faye Valentine,1994-11-11,Singapore,2,"Illegal Gambling; Debt Default",No
Jet Black,1968-01-01,United States,0,None,No
Spike Spiegel,1985-05-05,Mars,5,"Assault; Evading Arrest; Theft",Yes
Edward Wong,2005-01-01,Earth,1,Hacking,No
Ein Corgi,2020-01-01,Lab,0,None,No
Vicious Elder,1975-02-02,Mars,8,"Murder; Treason",Yes
Julia Rose,1988-03-03,United Kingdom,1,Theft,No
Lin Delphiki,2000-04-04,China,0,None,No
Shin Barker,1990-05-05,United States,1,Assault,No
Grencia Mars,1970-06-06,Callisto,1,Illegal Possession of Explosives,No
Vincent Volaju,1972-07-07,United States,2,Terrorism,Yes
Elektra Ovirowa,1985-08-08,Russia,1,Espionage,No
Spike Siegel,1992-09-09,Germany,0,None,No
Melfina Android,2000-10-10,Unknown,0,None,No
Gene Starwind,1980-11-11,United States,2,"Property Damage; Debt",No
Jim Hawking,1995-12-12,United Kingdom,1,Hacking,No
Aisha Clan-Clan,1998-01-01,Ctarl-Ctarl,1,Destruction of Public Property,No
Suzuka Assassin,1982-02-02,Japan,3,Assassination Attempt,Yes
Ronald McDonald,1963-03-03,United States,1,Public Nuisance,No
Pennywise It,1950-04-04,United States,20,"Serial Murder; Kidnapping",Yes
Georgie Denbrough,2005-05-05,United States,0,None,No
Bill Denbrough,1980-06-06,United States,0,None,No
Beverly Marsh,1980-07-07,United States,0,None,No
Richie Tozier,1980-08-08,United States,1,Disorderly Conduct,No
Eddie Kaspbrak,1980-09-09,United States,0,None,No
Stan Uris,1980-10-10,United States,0,None,No
Mike Hanlon,1980-11-11,United States,0,None,No
Henry Bowers,1975-12-12,United States,5,"Assault; Animal Cruelty; Murder",Yes
Belch Huggins,1976-01-01,United States,2,Assault,No
Victor Criss,1976-02-02,United States,2,Trespassing,No
Patrick Hockstetter,1976-03-03,United States,3,"Animal Cruelty; Arson",No
Carrie White,1990-04-04,United States,1,Arson,No
Margaret White,1950-05-05,United States,1,Child Abuse,No
Sue Snell,1990-06-06,United States,0,None,No
Chris Hargensen,1990-07-07,United States,2,"Harassment; Vandalism",No
Billy Nolan,1988-08-08,United States,3,"Animal Cruelty; Reckless Driving",No
Paul Sheldon,1965-09-09,United States,0,None,No
Annie Wilkes,1960-10-10,United States,12,"Kidnapping; Homicide; Medical Malpractice",Yes
Jack Torrance,1960-11-11,United States,1,Assault,No
Wendy Torrance,1965-12-12,United States,0,None,No
Danny Torrance,1975-01-01,United States,1,Public Intoxication (Later Life),No
Dick Hallorann,1940-02-02,United States,0,None,No
Delbert Grady,1930-03-03,United Kingdom,1,Triple Homicide,No
Lloyd Bartender,1950-04-04,United States,1,Illegal Liquor Sales,No
John Coffey,1960-05-05,United States,1,Murder (Wrongful Conviction),No
Paul Edgecomb,1965-06-06,United States,0,None,No
Brutus Howell,1960-07-07,United States,0,None,No
Percy Wetmore,1975-08-08,United States,1,"Official Misconduct; Assault",No
William Wharton,1972-09-09,United States,6,"Triple Murder; Assault",Yes
Eduard Delacroix,1968-10-10,France,1,"Arson; Homicide",No
Arlen Bitterbuck,1962-11-11,United States,1,Homicide,No
Melinda Moores,1965-12-12,United States,0,None,No
Hal Moores,1960-01-01,United States,0,None,No
Andy Dufresne,1960-02-02,United States,1,Murder (Wrongful Conviction),No
Ellis Boyd Redding,1955-03-03,United States,1,Murder,No
Samuel Norton,1950-04-04,United States,1,"Money Laundering; Extortion",Yes
Byron Hadley,1958-05-05,United States,2,"Assault; Tax Evasion",No
Brooks Hatlen,1920-06-06,United States,1,Murder,No
Boggs Diamond,1965-07-07,United States,3,"Sexual Assault; Assault",No
Tommy Williams,1975-08-08,United States,2,"Grand Larceny; Burglary",No
Bogs Diamond,1960-09-09,United States,1,Assault,No
Roland Deschain,1960-10-10,Mid-World,1,Illegal Use of Firearm,No
Randall Flagg,0001-01-01,Unknown,50,"Treason; Murder; Arson; Conspiracy",Yes
Mother Abagail,1920-11-11,United States,0,None,No
Stu Redman,1980-12-12,United States,1,Resisting Arrest,No
Frannie Goldsmith,1995-01-01,United States,0,None,No
Larry Underwood,1985-02-02,United States,1,Drug Possession,No
Nick Andros,1990-03-03,United States,0,None,No
Tom Cullen,1975-04-04,United States,0,None,No
Lloyd Henreid,1982-05-05,United States,4,"Armed Robbery; Murder",Yes
Trashcan Man,1988-06-06,United States,10,"Arson; Possession of Explosives",Yes
Harold Lauder,1995-07-07,United States,1,Conspiracy to Commit Murder,No
Nadine Cross,1985-08-08,United States,1,Accessory to Murder,No
Glen Bateman,1960-09-09,United States,1,Vagrancy,No
Ralph Brentner,1970-10-10,United States,1,DUI,No
Donald Merwin Elbert,1980-11-11,United States,2,Arson,No
Julie Lawry,1992-12-12,United States,1,Assault,No
Barry Derts,1985-01-01,United States,1,Public Indoxication,No
Whitney Ellsworth,1975-02-02,United States,0,None,No
Al Swearengen,1950-03-03,United Kingdom,12,"Murder; Pimping; Bribery",Yes
Seth Bullock,1960-04-04,Canada,0,None,No
Sol Star,1962-05-05,Austria,0,None,No
Alma Garret,1975-06-06,United States,1,Drug Possession (Laudanum),No
Trixie Star,1985-07-07,United States,1,Solicitation,No
Doc Cochran,1945-08-08,United States,0,None,No
Calamity Jane,1852-05-01,United States,2,"Public Intoxication; Disorderly Conduct",No
Wild Bill Hickok,1837-05-27,United States,1,Illegal Gambling,No
Charlie Utter,1840-09-09,United States,0,None,No
Cy Tolliver,1955-10-10,United States,5,"Assault; Racketeering",No
Joanie Stubbs,1970-11-11,United Kingdom,1,Solicitation,No
E.B. Farnum,1950-12-12,United States,1,Fraud,No
Francis Wolcott,1960-01-01,United States,3,Triple Murder,No
George Hearst,1940-02-02,United States,1,Corporate Bribery,No
Dan Dority,1970-03-03,United States,2,"Assault; Homicide",No
Johnny Burns,1972-04-04,United States,1,Accessory to Murder,No
Silas Adams,1975-05-05,United States,1,Theft,No
Wyatt Earp,1848-03-19,United States,1,Horse Theft (Historical),No
Morgan Earp,1851-04-24,United States,0,None,No
Virgil Earp,1843-07-18,United States,0,None,No
Doc Holliday,1851-08-14,United States,2,"Illegal Gambling; Assault",No
Big Nose Kate,1850-11-07,Hungary,1,Arson,No
Ike Clanton,1847-01-01,United States,3,"Cattle Rustling; Murder",Yes
Billy Claiborne,1860-02-02,United States,1,Public Drunkenness,No
Frank McLaury,1848-03-03,United States,2,"Theft; Resisting Arrest",No
Tom McLaury,1853-04-04,United States,1,Cattle Rustling,No
Johnny Ringo,1850-05-03,United States,4,"Stagecoach Robbery; Homicide",Yes
Curly Bill Brocius,1845-06-06,United States,5,"Tax Evasion; Murder; Theft",No
Jesse James,1847-09-05,United States,12,"Bank Robbery; Train Robbery; Murder",Yes
Frank James,1843-01-10,United States,8,"Armed Robbery; Conspiracy",No
Cole Younger,1844-01-15,United States,6,"Robbery; Assault",No
Jim Younger,1848-02-12,United States,4,Grand Larceny,No
Bob Younger,1853-10-29,United States,4,Robbery,No
Belle Starr,1848-02-05,United States,2,Horse Theft,No
Sam Starr,1859-11-11,United States,3,Bootlegging,No
Billy the Kid,1859-11-23,United States,10,"Murder; Prison Break; Cattle Theft",Yes
Pat Garrett,1850-06-05,United States,0,None,No
Butch Cassidy,1866-04-13,United States,15,"Train Robbery; Grand Larceny",Yes
Sundance Kid,1867-02-14,United States,12,"Armed Robbery; Assault",Yes
Etta Place,1878-05-05,United States,1,Accessory to Robbery,No
Zheng He,1982-05-20,China,0,None,No
Aarav Malhotra,1994-03-12,India,1,Speeding (Criminal),No
Saanvi Kulkarni,1997-07-22,India,0,None,No
Kwame Nkrumah,1988-10-10,Ghana,1,Sedition,No
Amara Diop,1992-04-15,Senegal,0,None,No
Lukas Neumann,1985-06-08,Germany,1,DUI,No
Ingrid Bergman,1970-08-29,Sweden,0,None,No
Soren Kierkegaard,1980-05-05,Denmark,1,Public Nuisance,No
Sofia Lindholm,1996-12-12,Sweden,0,None,No
Bjorn Borg,1975-06-06,Sweden,1,Tax Evasion,No
Maja Nilsson,1993-02-02,Sweden,0,None,No
Arvid Stjernquist,1988-11-11,Sweden,2,Vandalism,No
Yuki Matsui,1995-03-30,Japan,0,None,No
Kenji Fujimoto,1974-05-15,Japan,1,Bribery,No
Akiko Tanaka,1982-07-07,Japan,0,None,No
Hiroshi Yamamoto,1968-09-12,Japan,2,Illegal Gambling,No
Mateo Fernandez,1991-04-18,Mexico,1,Shoplifting,No
Isabella Gomez,1998-05-05,Mexico,0,None,No
Carlos Santana,1977-07-20,Mexico,1,Public Intoxication,No
Elena Rodriguez,1985-11-30,Mexico,2,Drug Possession,No
Dmitri Sokolov,1982-03-14,Russia,4,"Fraud; Money Laundering",Yes
Svetlana Petrova,1990-12-10,Russia,0,None,No
Ivan Chenkov,1978-06-06,Russia,3,Extortion,No
Natalia Romanova,1994-01-01,Russia,1,Espionage,Yes
Boris Grishenko,1985-02-02,Russia,2,Hacking,No
Xenia Onatopp,1988-03-03,Russia,5,"Murder; Assault",Yes
Alec Trevelyan,1970-04-04,United Kingdom,3,Treason,Yes
James Bond,1968-11-11,United Kingdom,1,Reckless Driving,No
Eve Moneypenny,1985-05-05,United Kingdom,0,None,No
Bill Tanner,1972-06-06,United Kingdom,0,None,No
Felix Leiter,1970-07-07,United States,1,Obstruction of Justice,No
Le Chiffre,1975-08-08,France,4,"Terrorism Financing; Fraud",Yes
Vesper Lynd,1988-09-09,United Kingdom,1,Embezzlement,No
Auric Goldfinger,1960-10-10,United Kingdom,6,"Gold Smuggling; Racketeering",Yes
Lee Oddjob,1970-11-11,South Korea,3,"Assault; Homicide",No
Ernst Stavro Blofeld,1962-12-12,Poland,20,"Conspiracy; Mass Homicide; Terrorism",Yes
Rosa Klebb,1955-01-01,Russia,2,Assassination Attempt,No
Francisco Scaramanga,1965-02-02,Spain,10,Murder-for-Hire,Yes
Nick Nack,1980-03-03,Philippines,1,Accessory to Murder,No
Kiel Jaws,1972-04-04,Poland,5,"Aggravated Assault; Destruction of Property",No
Hugo Drax,1968-05-05,France,2,Genocide (Attempted),Yes
Raoul Silva,1975-06-06,Portugal,3,Cyber Terrorism,Yes
Max Zorin,1982-07-07,Germany,2,"Industrial Sabotage; Murder",No
Dominic Greene,1980-08-08,France,1,Environmental Crimes,No
Lyutsifer Safin,1985-09-09,Russia,4,Bio-Terrorism,Yes
Nomi Double-O,1995-10-10,United Kingdom,0,None,No
Paloma Agent,1997-11-11,Cuba,1,Assault,No
Honey Rider,1988-12-12,Jamaica,1,Trespassing,No
Pussy Galore,1982-01-01,United States,2,"Theft; Conspiracy",No
Tiffany Case,1985-02-02,United States,2,Diamond Smuggling,No
Solitaire Kananga,1990-03-03,Unknown,0,None,No
Anya Amasova,1988-04-04,Russia,1,Espionage,No
Holly Goodhead,1985-05-05,United States,0,None,No
Melina Havelock,1992-06-06,Greece,1,Homicide (Vengeance),No
Smiit Octopussy,1980-07-07,India,3,Smuggling,No
May Day,1985-08-08,Jamaica,4,"Murder; Assault",No
Kara Milovy,1992-09-09,Czech Republic,1,Accessory to Fraud,No
Pam Bouvier,1990-10-10,United States,1,Unlicensed Piloting,No
Natalya Simonova,1994-11-11,Russia,0,None,No
Wai Lin,1990-12-12,China,1,Espionage,No
Christmas Jones,1995-01-01,United States,0,None,No
Giacinta Jinx Johnson,1982-02-02,United States,1,Assault,No
Madeleine Swann,1990-03-03,France,0,None,No
Camille Montes,1992-04-04,Bolivia,1,Attempted Murder,No
Severine Macau,1988-05-05,Macau,1,Solicitation (Forced),No
Lupe Lamora,1990-06-06,Mexico,0,None,No
Tatiana Romanova,1985-07-07,Russia,1,Defection,No
Fiona Volpe,1982-08-08,Italy,2,Murder,Yes
Helga Brandt,1985-09-09,Germany,1,Assault,No
Miranda Frost,1988-10-10,United Kingdom,1,Treason,Yes
Strawberry Fields,1990-11-11,United Kingdom,0,None,No
Sévérine Perrot,1992-12-12,France,0,None,No
Lucia Sciarra,1975-01-01,Italy,1,Accessory to Crime,No
John Wick,1980-09-02,Belarus,15,"Mass Homicide; Assault",Yes
Winston Scott,1965-03-12,United Kingdom,1,Accessory to Murder,No
Charon Concierge,1972-04-14,United States,0,None,No
Santino D'Antonio,1982-05-15,Italy,5,"Conspiracy; Murder",Yes
Ares Mute,1990-06-06,Italy,3,Assault,No
Cassian Guard,1985-07-07,United States,2,Assault,No
Zero Shinobi,1980-08-08,Japan,4,Murder,No
The Adjudicator,1982-09-09,Unknown,0,None,No
The Bowery King,1970-10-10,United States,3,Illegal Intelligence Gathering,No
Tick Tock Man,1988-11-11,United States,1,Theft,No
Sophia Al-Azwar,1985-12-12,Morocco,2,Assault,No
Berrada Mint,1970-01-01,Morocco,1,Animal Cruelty,No
Caine Blind,1975-02-02,China,6,Assassination,No
Koji Shimazu,1972-03-03,Japan,1,Accessory to Murder,No
Akira Shimazu,2000-04-04,Japan,0,None,No
The Marquis de Gramont,1990-05-05,France,2,"Conspiracy; Murder",Yes
Chidi Assassin,1988-06-06,Nigeria,3,Assault,No
Killa Harkan,1982-07-07,Germany,2,"Illegal Gambling; Fraud",No
Tracker Nobody,1995-08-08,United States,1,Bounty Hunting Without License,No
Marcus Aurelius,1960-09-09,Italy,0,None,No
Maximus Decimus Meridius,1970-10-10,Spain,1,Desertion,No
Commodus Caesar,1980-11-11,Italy,1,"Fratricide; Tyranny",Yes
Lucilla Caesar,1982-12-12,Italy,1,Conspiracy,No
Proximo Lanista,1960-01-01,Morocco,1,Human Trafficking,No
Juba Numidian,1975-02-02,Numidia,0,None,No
Gracchus Senator,1965-03-03,Italy,1,Sedition,No
Falco Praetorian,1972-04-04,Italy,1,Assault,No
Tigris of Gaul,1970-05-05,France,1,Attempted Murder,No
William Wallace,1970-06-06,Scotland,2,"Treason; Insurrection",Yes
Robert the Bruce,1975-07-07,Scotland,1,Murder in a Cathedral,No
Isabella of France,1985-08-08,France,1,Conspiracy,No
Edward Longshanks,1940-09-09,United Kingdom,1,War Crimes,No
Murron MacClannough,1988-10-10,Scotland,0,None,No
Hamish Campbell,1985-11-11,Scotland,1,Riot,No
Stephen of Ireland,1982-12-12,Ireland,1,Public Insanity,No
Braveheart Alias,1990-01-01,Scotland,1,Sedition,No
Max Rockatansky,1980-05-15,Australia,2,"Reckless Driving; Grand Theft Auto",No
Imperator Furiosa,1992-06-06,Australia,3,"Theft; Desertion",No
Immortan Joe,1960-07-07,Australia,10,Crimes Against Humanity,Yes
Nux Warboy,2002-08-08,Australia,1,Vandalism,No
Rictus Erectus,1988-09-09,Australia,2,Assault,No
The People Eater,1970-10-10,Australia,1,Embezzlement,No
The Bullet Farmer,1972-11-11,Australia,2,Illegal Arms Dealing,No
Doof Warrior,2000-12-12,Australia,1,Noise Complaint,No
Toast the Knowing,2001-01-01,Australia,0,None,No
Capable Wife,2002-02-02,Australia,0,None,No
The Dag Wife,2003-03-03,Australia,0,None,No
Cheedo the Fragile,2004-04-04,Australia,0,None,No
Splendid Angharad,1998-05-05,Australia,0,None,No
Miss Giddy,1950-06-06,Australia,1,Aiding and Abetting,No
Slit Warboy,2001-07-07,Australia,1,Vandalism,No
Corpus Colossus,1995-08-08,Australia,0,None,No
Valkyrie Vuvalini,1965-09-09,Australia,1,Assault,No
Keeper of Seeds,1955-10-10,Australia,0,None,No
Aiko Mori,1992-04-12,Japan,0,None,No
Kenjiiro Tsuda,1980-06-11,Japan,1,Public Nuisance,No
Isamu Sato,1975-03-25,Japan,2,"Tax Evasion; Bribery",No
Yumi Kawaguchi,1998-12-01,Japan,0,None,No
Takashi Sorimachi,1973-12-19,Japan,1,DUI,No
Ren Amari,2001-05-05,Japan,0,None,No
Kaito Kuroba,1997-06-21,Japan,3,"Grand Larceny; Evading Arrest",Yes
Shinichi Kudo,1997-05-04,Japan,1,Breaking and Entering (Investigative),No
Ran Mouri,1997-10-01,Japan,0,None,No
Kogoro Mouri,1965-03-03,Japan,1,Public Intoxication,No
Heiji Hattori,1998-08-10,Japan,1,Speeding,No
Masumi Sera,1999-02-02,Japan,0,None,No
Tooru Amuro,1988-07-29,Japan,2,"Reckless Driving; Espionage",Yes
Shuichi Akai,1985-12-02,United States,2,Illegal Discharge of Firearm,No
Jodie Starling,1982-01-01,United States,0,None,No
James Black,1960-04-04,United Kingdom,0,None,No
Andre Camel,1980-05-05,United States,1,Traffic Violation,No
Sharon Vermouth,1975-01-01,United States,5,"Murder; Identity Fraud; Kidnapping",Yes
Gin Black-Org,1980-11-11,Unknown,12,"Homicide; Arson; Conspiracy",Yes
Vodka Black-Org,1982-12-12,Unknown,4,Accessory to Murder,No
Chianti Sniper,1990-03-03,Unknown,3,Attempted Murder,Yes
Korn Sniper,1985-04-04,Unknown,3,Assault,No
Bourbon Furuya,1988-07-29,Japan,0,None,No
Kir Mizunashi,1990-05-05,Japan,1,Espionage,No
